Model / Metric,Observed Base F1,Bootstrap Mean,Bootstrap Median,Bootstrap SD,95% Confidence Interval
LightGBM (LGBM),0.8527,0.8474,0.8503,0.0405,"[0.7598, 0.9182]"
Linear SVM (Linear),0.8217,0.8163,0.8190,0.0407,"[0.7306, 0.8899]"
Paired Difference (LGBM - SVM),+0.0310,+0.0310,+0.0296,0.0279,"[-0.0205, +0.0894]"
